Name,Details,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated
Puerto Rico - Sales and Use Tax Exemption for Solar Equipment,https://programs.dsireusa.org/system/program/detail/3182/puerto-rico-sales-and-use-tax-exemption-for-solar-equipment,PR,Financial Incentive,Sales Tax Incentive,12/16/2008,12/05/2023
Partial Sales and Use Tax Exemption for Zero-Emission Transit Buses,https://programs.dsireusa.org/system/program/detail/22154/partial-sales-and-use-tax-exemption-for-zero-emission-transit-buses,CA,Financial Incentive,Sales Tax Incentive,05/21/2021,02/25/2025
Partial Sales and Use Tax Exemption for Agricultural Solar Power Facilities,https://programs.dsireusa.org/system/program/detail/5351/partial-sales-and-use-tax-exemption-for-agricultural-solar-power-facilities,CA,Financial Incentive,Sales Tax Incentive,12/13/2012,03/21/2025
New York City - Residential Solar Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/4703/new-york-city-residential-solar-sales-tax-exemption,NY,Financial Incentive,Sales Tax Incentive,03/21/2011,12/18/2024
Local Option - Sales and Use Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/2502/local-option-sales-and-use-tax-exemption-for-renewable-energy-systems,CO,Financial Incentive,Sales Tax Incentive,04/27/2007,12/12/2024
Gross Receipts Tax Exemption for Sales of Wind and Solar Systems to Government Entities,https://programs.dsireusa.org/system/program/detail/3980/gross-receipts-tax-exemption-for-sales-of-wind-and-solar-systems-to-government-entities,NM,Financial Incentive,Sales Tax Incentive,02/16/2010,08/26/2024
Energy Storage Sales and Use Tax Reimbursement,https://programs.dsireusa.org/system/program/detail/22501/energy-storage-sales-and-use-tax-reimbursement,ME,Financial Incentive,Sales Tax Incentive,02/23/2023,01/02/2025
ENERGY STAR Sales Tax Holiday for Energy-Efficient Products,https://programs.dsireusa.org/system/program/detail/2766/energy-star-sales-tax-holiday-for-energy-efficient-products,TX,Financial Incentive,Sales Tax Incentive,10/26/2007,03/30/2023
Energy Efficient Manufactured Homes Sales Tax Incentive,https://programs.dsireusa.org/system/program/detail/2834/energy-efficient-manufactured-homes-sales-tax-incentive,SC,Financial Incentive,Sales Tax Incentive,12/20/2006,03/21/2023
Energy Conversion and Thermal Efficiency Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/77/energy-conversion-and-thermal-efficiency-sales-tax-exemption,OH,Financial Incentive,Sales Tax Incentive,01/01/2000,12/12/2024
City of Boulder - Solar Sales and Use Tax Rebate,https://programs.dsireusa.org/system/program/detail/4082/city-of-boulder-solar-sales-and-use-tax-rebate,CO,Financial Incentive,Sales Tax Incentive,04/08/2010,03/17/2025
Biomass Sales and Use Tax Exemption,https://programs.dsireusa.org/system/program/detail/1952/biomass-sales-and-use-tax-exemption,GA,Financial Incentive,Sales Tax Incentive,08/11/2006,01/02/2025
Biomass Equipment & Materials Compensating Tax Deduction,https://programs.dsireusa.org/system/program/detail/359/biomass-equipment-materials-compensating-tax-deduction,NM,Financial Incentive,Sales Tax Incentive,04/29/2005,12/05/2023
Alternative Energy Sales Tax Exemption,https://programs.dsireusa.org/system/program/detail/1070/alternative-energy-sales-tax-exemption,UT,Financial Incentive,Sales Tax Incentive,03/18/2004,12/04/2024
