Name,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated,Details
Montgomery County - High Performance Building Property Tax Credit,MD,Financial Incentive,Property Tax Incentive,02/04/2009,07/03/2020,https://programs.dsireusa.org/system/program/detail/3246/montgomery-county-high-performance-building-property-tax-credit
Methane Gas Conversion Property Tax Exemption,IA,Financial Incentive,Property Tax Incentive,01/01/2000,10/09/2024,https://programs.dsireusa.org/system/program/detail/185/methane-gas-conversion-property-tax-exemption
Local Option- Renewable Energy Machinery and Tools Property Tax Exemption,VA,Financial Incentive,Property Tax Incentive,03/26/2015,10/25/2024,https://programs.dsireusa.org/system/program/detail/5723/local-option-renewable-energy-machinery-and-tools-property-tax-exemption
Local Option - Special Assessment of Wind Energy Devices,IA,Financial Incentive,Property Tax Incentive,01/01/2000,10/09/2024,https://programs.dsireusa.org/system/program/detail/142/local-option-special-assessment-of-wind-energy-devices
"Local Option - Solar, Wind & Biomass Energy Systems Exemption",NY,Financial Incentive,Property Tax Incentive,11/26/2001,10/28/2024,https://programs.dsireusa.org/system/program/detail/192/local-option-solar-wind-biomass-energy-systems-exemption
Local Option - Rural Renewable Energy Development Zones,OR,Financial Incentive,Property Tax Incentive,06/10/2013,10/29/2024,https://programs.dsireusa.org/system/program/detail/5416/local-option-rural-renewable-energy-development-zones
Local Option - Residential Property Tax Exemption for Solar,VA,Financial Incentive,Property Tax Incentive,01/01/2000,10/25/2024,https://programs.dsireusa.org/system/program/detail/85/local-option-residential-property-tax-exemption-for-solar
Local Option - Real Property Tax Exemption for Green Buildings,NY,Financial Incentive,Property Tax Incentive,08/02/2012,10/28/2024,https://programs.dsireusa.org/system/program/detail/5249/local-option-real-property-tax-exemption-for-green-buildings
Local Option - Property Tax Exemption for Renewable Energy Systems,CT,Financial Incentive,Property Tax Incentive,01/01/2000,03/20/2023,https://programs.dsireusa.org/system/program/detail/5423/local-option-property-tax-exemption-for-renewable-energy-systems
Local Option - Property Tax Exemption for Renewable Energy Systems,AK,Financial Incentive,Property Tax Incentive,11/11/2010,03/21/2025,https://programs.dsireusa.org/system/program/detail/4449/local-option-property-tax-exemption-for-renewable-energy-systems
Local Option - Property Tax Exemption for Renewable Energy Systems,CO,Financial Incentive,Property Tax Incentive,04/27/2007,12/06/2023,https://programs.dsireusa.org/system/program/detail/2501/local-option-property-tax-exemption-for-renewable-energy-systems
Local Option - Property Tax Exemption for Renewable Energy Systems,RI,Financial Incentive,Property Tax Incentive,11/13/2007,12/06/2023,https://programs.dsireusa.org/system/program/detail/2801/local-option-property-tax-exemption-for-renewable-energy-systems
Local Option - Property Tax Exemption for Renewable Energy Facilities,AL,Financial Incentive,Property Tax Incentive,11/16/2016,01/02/2025,https://programs.dsireusa.org/system/program/detail/5943/local-option-property-tax-exemption-for-renewable-energy-facilities
Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage,NH,Financial Incentive,Property Tax Incentive,01/01/2000,06/07/2024,https://programs.dsireusa.org/system/program/detail/60/local-option-property-tax-exemption-for-renewable-energy-and-electrical-energy-storage
Local Option - Property Tax Exemption,VT,Financial Incentive,Property Tax Incentive,01/01/2000,05/22/2024,https://programs.dsireusa.org/system/program/detail/45/local-option-property-tax-exemption
Local Option - Property Tax Credit for Renewables and Energy Conservation Devices,MD,Financial Incentive,Property Tax Incentive,01/01/2000,11/20/2024,https://programs.dsireusa.org/system/program/detail/232/local-option-property-tax-credit-for-renewables-and-energy-conservation-devices
Local Option - Property Tax Credit for High Performance Buildings,MD,Financial Incentive,Property Tax Incentive,12/08/2006,03/11/2025,https://programs.dsireusa.org/system/program/detail/2363/local-option-property-tax-credit-for-high-performance-buildings
Local Option - Property Tax Assessment for Energy Efficient Buildings,VA,Financial Incentive,Property Tax Incentive,06/24/2008,10/25/2024,https://programs.dsireusa.org/system/program/detail/2983/local-option-property-tax-assessment-for-energy-efficient-buildings
Large Scale Renewable Energy Property Tax Abatement (Nevada State Office of Energy),NV,Financial Incentive,Property Tax Incentive,01/01/2000,03/21/2025,https://programs.dsireusa.org/system/program/detail/180/large-scale-renewable-energy-property-tax-abatement-nevada-state-office-of-energy
Large Commercial Wind and Solar Alternative Taxes,SD,Financial Incentive,Property Tax Incentive,03/06/2008,10/28/2024,https://programs.dsireusa.org/system/program/detail/2879/large-commercial-wind-and-solar-alternative-taxes
Howard County - High Performance and Green Building Property Tax Credit,MD,Financial Incentive,Property Tax Incentive,07/24/2009,11/20/2024,https://programs.dsireusa.org/system/program/detail/3559/howard-county-high-performance-and-green-building-property-tax-credit
Harris County - Property Tax Abatement for Green Commercial Buildings,TX,Financial Incentive,Property Tax Incentive,07/14/2011,12/06/2023,https://programs.dsireusa.org/system/program/detail/4911/harris-county-property-tax-abatement-for-green-commercial-buildings
Harford County - Property Tax Credit for Solar and Geothermal Devices,MD,Financial Incentive,Property Tax Incentive,12/17/2007,07/06/2020,https://programs.dsireusa.org/system/program/detail/2832/harford-county-property-tax-credit-for-solar-and-geothermal-devices
Guam - Photovoltaic Property Tax Exemption,GU,Financial Incentive,Property Tax Incentive,01/04/2024,03/21/2025,https://programs.dsireusa.org/system/program/detail/22589/guam-photovoltaic-property-tax-exemption
Green Energy Property Tax Assessment,TN,Financial Incentive,Property Tax Incentive,07/06/2012,01/02/2025,https://programs.dsireusa.org/system/program/detail/5216/green-energy-property-tax-assessment
Generation Facility Corporate Tax Exemptions,MT,Financial Incentive,Property Tax Incentive,10/01/2003,10/28/2024,https://programs.dsireusa.org/system/program/detail/978/generation-facility-corporate-tax-exemptions
Energy Equipment Property Tax Exemption,AZ,Financial Incentive,Property Tax Incentive,06/26/2006,03/21/2025,https://programs.dsireusa.org/system/program/detail/1683/energy-equipment-property-tax-exemption
Energy Conservation Improvements Property Tax Exemption,NY,Financial Incentive,Property Tax Incentive,03/27/2019,01/06/2025,https://programs.dsireusa.org/system/program/detail/22072/energy-conservation-improvements-property-tax-exemption
Energy Conservation Improvements Property Tax Exemption,NY,Financial Incentive,Property Tax Incentive,06/12/2006,10/28/2024,https://programs.dsireusa.org/system/program/detail/1596/energy-conservation-improvements-property-tax-exemption
Corporate Property Tax Reduction for New/Expanded Generating Facilities,MT,Financial Incentive,Property Tax Incentive,10/01/2003,10/28/2024,https://programs.dsireusa.org/system/program/detail/496/corporate-property-tax-reduction-for-new-expanded-generating-facilities
Commercial Solar Property Tax Exemption,VA,Financial Incentive,Property Tax Incentive,07/03/2014,12/15/2023,https://programs.dsireusa.org/system/program/detail/5503/commercial-solar-property-tax-exemption
City of Memphis - PILOT Program,TN,Financial Incentive,Property Tax Incentive,07/23/2024,07/23/2024,https://programs.dsireusa.org/system/program/detail/22676/city-of-memphis-pilot-program
City of Houston - Property Tax Abatement for Green Commercial Buildings,TX,Financial Incentive,Property Tax Incentive,03/30/2011,02/28/2023,https://programs.dsireusa.org/system/program/detail/4720/city-of-houston-property-tax-abatement-for-green-commercial-buildings
